id,texto,palabras_ambiguas,genero
2048,"Es una película para niños, pero sorprendentemente reflexiva y con un trasfondo filosófico que la hace muy apropiada para trabajar en un curso de Filosofía para Niños/as.  Más allá de las cuestiones t",curso,Comedia
2052,"En la misma línea malsana de «El Marginal» llega desde Chile «Baby Bandito», una serie con personajes segregados socialmente, en los que la criminalidad va de lleno y fomentada por la ambición, la apa",linea,Accion
2072,"Continúa tres años después de la película ""Concrete Utopia"", una película que se pudo ver en el Festival de Sitges y que se estrenara en cines el 2 de febrero, donde un terremoto destruía completament",oro,Accion
2074,‘’Cazadores en tierra inhóspita’’ es una secuela de la maravillosa e inteligente ‘’Concrete Utopia’’ de la que pudimos disfrutar el pasado 2023 gracias al director Um Tae-hwa. Justamente es eso y no c,curso | estrella,Accion
2080,"Vista la mitad de esta miniserie sobre uno de los más poderosos narcotraficantes de Colombia, puedo asegurar sin duda alguna que estamos ante un producto de calidad.Sofía Vergara se fusiona con un per",clave,Drama
2095,"No conocía a Sofía Vergara y claro, es que no es muy buena actriz (creo yo). Algunos personajes escapan bastante bien, pero la protagonista no da la talla. El 5 es por el vestuario, la iluminación y l",plata,Drama
2097,Voy a intentar hacer una crítica rápida y directa para que os hagáis una idea de lo que vais a encontrar y os lo podáis ahorrar.Nuevamente Kevin Smith antepone su ego a la historia y aunque ha reculad,linea,Accion
2109,"Un especial brillante, sencillo e interesante. Si eres fanático del universo One Piece, esto es para ti. Eiichiro Oda sorprendió con una historia en aquél one-shot de 1994. Acá se le hace justicia a e",oro,Accion
2116,"""Puro cine quinqui del siglo XXI, Casas ha debutado con una película orgánica, tumultuosa y energética, mucha vida y alma hay en su film"" esto lo escribe Pablo Vázquez, y mi pregunta es, ¿En qué se ba",oro,Drama
2139,"No está mal el debut detrás de la cámara del actor Mario Casas. No es un peliculón, por supuesto, y posiblemente tenga más puntos en contra que a favor. Sin embargo,  me parece un debut más que intere",fuente,Drama
2146,"El broche de oro a la inigualable carrera del gran Mario Casas. Buena película, sin fisuras, con excelente reparto e interesante historia, muy por encima de lo que estamos acostumbrados a ver en nuest",oro,Drama
2172,"Dirigida por el gran F. Gary Gray y protagonizada por el grupeto de Kevin Hart, Vincent D'Onofrio, Billy Magnussen, Úrsula Corberó y Gugu Mbatha-Raw.Una banda internacional de atracadores recibe el en",cabo,Accion
2173,"Nos encontramos ante una película que se esfuerza tanto en ser otras al mismo tiempo (fast and furious, oceans eleven, etc) que termina en algo sin personalidad y con cero carisma.Los personajes son h",red,Accion
2174,"Se presenta como una película que, a pesar de sus pretensiones, cae en los estereotipos y clichés de películas similares del género. La trama, centrada en una banda internacional de atracadores que de",linea,Accion
2178,"Lift es una película que intenta ser una versión moderna y divertida de Ocean's Eleven, pero que se queda en un intento fallido y aburrido. La trama gira en torno a un grupo de ladrones de arte que se",oro,Accion
2181,"LIFT: UN ROBO DE PRIMERA CLASE (2024)Dir. F. Gary GrayCon Kevin Hart,Gugu Mbatha-Raw, Vicente D'Onofrio, Úrsula Corberó, Billy Magnussen, Jacob Batalon, Jean Reno, Sam Worthington, Paul Anderson, Vive",cabo,Accion
2183,"¿Qué me dirías si te digo que esta peli va de robos dirigida por el que hizo Italian Job o El negociador y está protagonizada por Kevin Hart, Vincent Donofrio, Ursula Corberó o Jean Renó entre otros? ",oro,Accion
2186,"A ver, ¿pero qué esperaba la gente de algo como Lift?F. Gary Gray es experto en este tipo de cine palomitero, perfecto para disfrutar en el cine en una tarde calurosa de verano (aunque se haya estrena",gato,Accion
2211,"¡¡¡ Bayona !!!Sé que lees las críticas de Filmafinity y esta no será la excepción.En esta crítica vas a leer cosas que ningún otro te ha dicho antes, y unas cuantas que nos repetimos.Por situarte, sé ",clave | sierra,Aventura
2212,El director catalán Juan Antonio Bayona apenas pasada una década del estreno del superproyecto de Lo Imposible vuelve a la carga con Sociedad de la nieve (esta vez con un reparto más humilde pero no p,fuente,Aventura
2218,"Desde siempre me ha sonada como a un cuento popular la historia, tan trágica como milagrosa, de cierto equipo de rugby Uruguayo que fulminados por la desgracia se estrellaron en pleno corazón de los A",cabo,Aventura
2219,"Juan Antonio Bayona nos acaba de regalar una auténtica maravilla de película que podréis ver todos en Netflix en diciembre, y que tengo que mencionar primero de todo, que si tenéis la oportunidad de v",estrella,Aventura
2228,"Bueno, no sé si tiene mucho sentido hacer esta reseña a estas alturas, pero vamos a ello. La sociedad de la nieve es la quinta película del catalán Juan Antonio Bayona, director que a mí, la verdad, m",linea,Aventura
2231,"Unas semanas antes del verano, los medios de comunicación y las redes sociales alertaron a los espectadores de la necesidad de ver Oppenheimer en el cine más espectacular que conociéramos. La explosió",sierra | sierra,Aventura
2245,"Me asomo a vuestras críticas con cierta estupefacción. La cantidad de sobresalientes y de '10' que habéis puesto es un tanto exagerada ¿no? Vaya, como habéis hecho con ""Joker"" o ""The Last of Us"", prod",sierra,Aventura
2255,"¡Viven! la vi con 11 años y dejó una profunda huella en mí; me impactó mucho conocer esa historia, y el hecho de saber que estaba basada en hechos reales.Quise ver esta nueva versión de aquellos mismo",radio,Aventura
2258,"Desde la primera escena, 'La Sociedad de la Nieve' cautiva con su hermosa cinematografía, donde la blancura del entorno refleja metafóricamente la pureza y las complejidades de las relaciones humanas.",clave,Aventura
2262,"Society of the snow está dirigida por J.A. Bayona, quien ya disfruta de 13 nominaciones a los Goya y también al Globo de Oro, lo cual lo coloca como posible para el Oscar a su vez. Tenía miedo, ya que",oro,Aventura
2264,"Más parece que se hubiera estrellado una congregación de Ursulinas en lugar de un equipo de rugby de mozos veinteañeros. Ni una discusión, riña o conflicto en 70 días de tragedia en medio de los Andes",sierra,Aventura
2267,"No quiero recurrir al chiste fácil, pero que frío te deja 'La sociedad de la nieve'. La nueva película de J.A. Bayona coge una historia conocida, la del avión que llevaba a un equipo de rugby uruguayo",sierra,Aventura
2283,"A la casa de mis padres, suscritos desde siempre, llegaba con británica puntualidad la revista Selecciones del Reader´s Digest. Pequeña, colorida y compacta, fue la revista una fuente indispensable de",fuente,Aventura
2285,Vuelve Bayona. El director catalán presenta su nuevo proyecto después de dar el salto a Hollywood rodando la segunda parte de la trilogía Jurassic World o rodando el capítulo piloto de la ambiciosa se,cabo,Aventura
2310,"LA SOCIEDAD DE LA NIEVE (2023)Dir. J.A. BayonaCon Enzo Vogrincic, Agustín Pardella, Andy Pruss, Matías Recalt, Tomás Wolf, Diego Vegezzi, Fernando Contigiani, Esteban Kukuriczka, Valentino Alonso, Fra",estrella,Aventura
2316,"El español Juan Antonio Bayona debe estar obsesionado con los desastres naturales y el cine catástrofe, ¿no?. El director de “Lo imposible” (2012) (que también dirigió la excelente “Un monstruo viene ",radio,Aventura
2322,"Bayona vuelve ha hacer de Bayona.Película técnicamente impecable al que le sobra parafernalia y le falta sutileza y corazón.Tras el visionado, me pregunto por qué re-versionar algo que ya funcionó sin",estrella,Aventura
2326,"... es la que se esfuerzan por generar cada día con más ímpetu desde la mayoría de las instituciones ""culturales"", ""políticas""... pervirtiendo, suplantando, o escondiendo bajo disfraces aparentemente ",gato,Aventura
2327,"Excelente film de Juan A. Bayona, espectacular, sentida, intimista, emotiva, humana.De largo metraje, no cansa en absoluto, siendo muy entretenida e interesante durante todo el metraje.Es sabido que l",sierra,Aventura
2330,"Cuando vas al cine para ver una película de Bayona, acudes ya con la idea de encontrarte con un producto perfeccionista en lo insólito y este de tema tan conocido, no iba a ser distinto después de un ",sierra,Aventura
2331,"Una película no debe buscar solamente la aprobación de la audiencia en base a gustos. Las películas grandes de verdad intentan incomodar, emocionar, interpelar, hacerte explorar cada uno de tus sentid",clave,Aventura
2335,"Hacer una nueva película sobre la tragedia de estos chicos uruguayos y su accidente aéreo podía parecer una redundancia o una nueva película que sale de una historia antigua, ya trillada y contada en ",oro,Aventura
2355,"Sin duda es una película que técnicamente es buenísima, y buena prueba de ello son los 12 Goyas conseguidos en la edición de 2024.Todas las escenas están milimétricamente cuidadas y el resultado es de",clave,Aventura
2357,"Por fin pudimos ver ""La sociedad de la nieve"". Muchos dicen que es una especie de remake de dos películas tituladas ""¡Viven!"" o ""Supervivientes de los Andes"". Algo tiene de esas películas, sin duda. P",sierra,Aventura
2364,"En mi opinión, en comparación con ""¡Viven!"" (""Alive"", F. Marshall, 1993), poco o nada nuevo aporta esta película del, para mi gusto, efectista J. A. Bayona. Es cierto que la puesta en escena y la ambi",plata,Aventura
2366,"Después de venderse como mercenario para Spielberg en la resultona “Jurassic World, El reino caído” (2018) y para Amazon en “El señor de los anillos: Los anillos de poder” (2022), ya iba siendo hora d",sierra,Aventura
2369,"Por fin pude hacer un hueco en mi apretada agenda y me colé en la proyección de la última película de J.A. Bayona. Ante la insistencia de mi hermano de que no podía verla en la televisión, pues no iba",estrella,Aventura
2371,"Aclaro que esta historia me fascinó cuando de adolescente la descubrí en el cine, así que mi agradecimiento a la primera aproximación cinematográfica hace 30 años. Gracias a ella compré el libro y pro",cabo,Aventura
2372,"Hace tiempo que en España tenemos un problema a la hora de enviar las películas que nos representen en los Oscar: los académicos escogen cine muy nuestro, pero sin pensar en lo que están buscando en H",cabo,Aventura
2384,"Juan Antonio Bayona, ahora mismo nuestro director más internacional —digan lo que digan los corifeos de Almodóvar—, parece abonado a las historias de supervivencia en condiciones extremas, caso de «Lo",capital,Aventura
2392,"Dirigida por J.A. Bayona y protagonizada por Enzo Vogrincic, Agustín Pardella, Matías Recalt, Esteban Kukuriczka y Rafael Federman.El vuelo de un equipo de rugby se estrella en un glaciar de los Andes",estrella,Aventura
2407,El grupo de supervivientes de la tragedia de los AndesPrevio paso por cines se ha estrenado en Netflix a inicio de enero el último largometraje coescrito y dirigido por J. A. Bayona después de “Jurass,estrella | oro,Aventura
2412,"La película comienza como una pura fiesta. Se ve a unos jóvenes jugando al rugby. Luego entramos en el vestuario, hay camaradería, el gozo de estar juntos. También la alegría y la ilusión de un equipo",estrella,Aventura
2422,Un viaje a los detalles y crisis que significó caer de una avión en plena cordillera de los Andes es lo que el director español J. A Bayona ofrece este buen film de mucha tensión¿Por qué vemos algo qu,estrella | fuente,Aventura
2435,Muy bien conseguidos los efectos especiales del avión y del alud y la sensación de desamparo e inaccesibilidad del hostil entorno donde se estrella el avión.Bayona consigue reflejar bien el lento paso,estrella,Aventura
2441,"Recuerdo haberme leído de pequeño el libro de Viven e ir al cine a verla.  Y bueno, me encantó.  Salí ""tocao"" de la sala porque es una película dura, si la hubiera visto en casa no habría sido lo mism",estrella,Aventura
2442,"16/16(16/01/24) Emocionante recreación sobre el famoso “Milagro de los Andes”. El episodio (el extraño lo desconozca lo busque en Wikipedia) dio la vuelta al mundo, sigue siendo hoy en día uno de los ",linea | sierra,Aventura
2450,"La Sociedad de la Nieve (2023).""No hay amor más grande que el que da la vida por sus amigos.”Treinta años después de que Frank Marshall diera a conocer al mundo la historia del malogrado equipo de rug",sierra,Aventura
2468,"La sociedad de la nieve, producción española dirigida por J.A Bayona, heredero del cine de Spielberg, y, por lo tanto, uno de nuestros cineastas más ambiciosos y espectaculares, con una filmografía qu",clave | clave,Aventura
2472,"Netflix vuelve a ir a la carga y aterriza en los cines su apuesta para los Oscars, LA SOCIEDAD DE LA NIEVE, un biopic dramático que relata el accidente aéreo del vuelo 571 en la cordillera de los ande",cabo,Aventura
2484,Que a nadie lleve a engaño la ocurrente traducción del título (maldito y bendito sea el perpetrador) ni que la premisa de esta serie sea mostrar las aventuras de un grupo de aventureros en un mundo me,gato,Accion
2495,"Tengo que confesar que no puedo presumir de haber leído ni una sola novela de este Coben (lecturas, por otra parte, que supongo no muy dignas de ser ""presumidas""), por lo cual no tengo conocimientos s",cabo,Drama
2499,"Aparecen cada vez más mini series, sobre todo en Netflix. Esta serie apareció en varias de las cuentas que sigo en Instagram, parecía ser una gran serie con muchos giros interesantes y buen argumento.",plata | plata,Drama
2510,"La primera vez que escuché un especial de Dave me hizo creer que estaba, posiblemente, ante uno de los mejores precursores del Stand Up de los últimos tiempos. Y no me equivocaba, ya que al seguir con",campo,Comedia
2514,"Lamentable producción defecada por Netflix a mayor gloria de Pedro Alonso, quien a los 46 palos alcanzó el estrellato con la sobredimensionada y sobrevalorada ""La casa de papel"", con su carismático Be",oro | estrella,Accion
2518,"Malísima a más no poder. Personajes sobreactuados, trama que no engancha, demasiado centrada en historias que no esperaría en la casa de papel sino en un telefilm de media tarde. Ojalá pudiera “desver",estrella,Accion
2523,Hay que estrujar al máximo el éxito (la pasta) de las anteriores temporadas y esto hace que Netflix y sus creadores se inventen esta serie derivada (spin off) que deja en muy mal lugar a La Casa de Pa,estrella,Accion
2524,"Como puedo empezar a resumir esta serie...Algo que esperaba con muchas ganas, después de la maquinaria perfecta que significó su antecesora pero que conforme iba avanzando la trama en Berlín, iba teni",sierra,Accion
2528,"No se me malinterprete, en términos generales he disfrutado bastante la serie. Me ha dejado mejor sabor de boca que el segundo robo de “La Casa de papel” en su totalidad… pero hay cosas que me han chi",banco | sierra,Accion
2530,"Serie repleta de primeros planos, musiquillas pseudorománticas que me revientan los tímpanos e ilusionismo barato.Trata de imitar la magia y esencia de «La Casa de Papel», y no solo se queda en el int",cabo,Accion
2536,"La voto con un 7 para compensar otros votos, porque creo que es una serie que tiene potencial, el personaje de Berlín está magnífico en ciertos momentos, y podrían salir tramas de robos muy interesant",estrella,Accion
2539,"Entendido este spin-off de 'La Casa de Papel' como un puro entretenimiento, sin intención de parecer realista, de trascender, ni siquiera de dar continuidad a la saga, se engulle mejor este producto '",campo,Accion
2556,"Este año, la saga de videojuegos Pokemon, nos ha brindado con algunas miniseries junto a su serie oficial, en la que hemos tenido desde una serie enfocada en el juego de cartas, ""Pokemon Senda a la ci",cabo,Comedia
2557,"""Pokémon Concierge"" es una miniserie de solo cuatro episodios, producida por The Pokémon Company para Netflix, y la primera serie del animador por stop-motion Iku Ogawa.En ella seguimos las aventuras ",linea,Comedia
2567,*A muchas galaxias de distanciaOdio amar a Zack Snyder. O amo odiarlo. Ni yo mismo lo sé. Cada película del director es una especie de videoclip con una estética de los dos mil de esos que salían en M,estrella,Accion
2575,"Sinceramente, he vivido la película como si fuera un filme de serie B pero que no es serie B porque se nota el dinero por todas partes. Es eso, una peli con mucha imaginería, y sí, toque personal de Z",estrella,Accion
2583,"Kora es una buena moza que cultiva las tierras con su caballo alíen en un fondo de PC de temática espacial que  evocador y mágico por igual, lo hace por la noche y el motivo de esto será misterio de m",curso,Accion
2588,"Con Zack Snyder nunca se sabe.Principalmente porque, últimamente, hay que esperar siempre a las versiones extendidas para entender qué es lo que realmente ha querido hacer o cuál es la verdadera enver",oro | estrella,Accion
2589,"Rebel Moon: a child of fire está dirigida por Zack Snyder, que parece tener crédito en Netflix para llevar a cabo su película en dos partes. Sin embargo, y aunque seguramente la verán muchos espectado",cabo,Accion
2591,"No sé ni por dónde empezar, pero, en fin, empezaremos por el principio. Rebel Moon, nueva película para Netflix del señor Zack Snyder, para mal y para mal, uno de los cineastas más populares y polémic",raton,Accion
2600,Es una de las películas de las que más se ha hablado en los últimos días y no precisamente por nada bueno. Y es que la nueva película de Zack Snyder ha horrorizado a crítica (tiene un 23% en Rotten To,campo,Accion
2615,"Hace más de 40 años -mira, más o menos yo- el director de 'THX 1138' o 'American Graffiti' no pudo hacerse con los derechos cinematográficos de 'Flash Gordon' que terminaron en las garras de un produc",cabo,Accion
2627,"Si eres de los que come pollo todos los días, los sábados tu plan es botellón viendo la sexta noche, cuando juegas al pádel estás más cómodo en el fondo que en la red y el 24 de diciembre eres de los ",red | fuente,Accion
2633,"Increíble lo poco original que es, el mayor interés que tiene seguir viéndola es ver de dónde han copiado y pegado la siguiente referencia, casi de forma literal. Sería tremendamente fácil poner docen",estrella,Accion
2645,"Creo que todo el mundo convendrá conmigo en que, desde su paso por DC, Zack Snyder se ha convertido en un director excesivamente rodeado de polémica. Tanto sus numerosos fans como los no menos numeros",cabo,Accion
2646,"Después de un segundo visionado me veo en la necesidad de modificar mi crítica, y sí, en esta ocasión para mejorar la nota.Reconozco que la primera vez que la vi ya estaba influenciado por las crítica",linea,Accion
2655,"Yo se supone que me tengo que tragar que esto iba a ser Star Wars, mis cojones 33. Rebel Moon es todo lo malo que tiene Star Wars, que junto a varios elementos copiados de otras películas, forman una ",campo | linea,Accion
2678,"“Maestro” era un proyecto que pretendían llevar a acabo tanto Scorsese como Spielberg. Finalmente ambos se han limitado a ser coproductores y la película (producto Netflix), ha sido llevada a cabo por",cabo | estrella | cabo,Drama
2680,"*DespegandoMaestro comienza con un trasnochado Bernstein tocando una pieza al piano grabada en directo para un programa de radio. Al término de la misma, reconoce cuánto sigue echando de menos a su es",radio | estrella,Drama
2684,"Bradley Cooper, popular actor que saboreo las mieles del éxito hace una década, y que hace unos años sorprendió a propios y extraños con su debut como director, Ha nacido una estrella, drama que sirvi",estrella,Drama
2693,"El metraje biopic dirigido, guionizado , y protagonizado por Bradley Cooper,  el cual se  centra  en la vida de Leonard Bernstein, el magistral creador, pianista, director, y compositor, forjador de n",campo,Drama
2694,"De un tiempo a esta parte, Bradley Cooper está obsesionado con la estatuilla dorada y parece que ha volcado esta parte de la carrera a conseguirla. Esfuerzos el muchacho está poniendo de su parte y na",estrella,Drama
2701,"Que Bradley Cooper es un cineasta excepcional es algo incuestionable.Su versión de Ha nacido una estrella tenía todos los números para ser una película del montón, y el protagonista de El lado bueno d",estrella | estrella,Drama
2706,"Maestro está dirigida y además protagonizada por un Bradley Cooper con prótesis en la nariz, algo bastante destacable en su rostro. Por lo demás, lo acompaña una Carey Mulligan siempre interesante. No",oro,Drama
2713,"Maestro es la segunda película dirigida y protagonizada por Bradley Cooper, después de su exitoso debut con Ha nacido una estrella (2018). En esta ocasión, Cooper se mete en la piel del legendario com",estrella | linea,Drama
2716,"Maestro es una muy bien realizada pero algo convencional pelicula biográfica, dirigida y protagonizada por Bradley Cooper en faceta dramática, usando una prótesis de nariz que lo deja irreconocible, p",oro | estrella,Drama
2723,“Maestro” es de aquellas películas biográficas realizadas con mucha calidad que no dejarán contentos a todos los familiares con esa mirada particular de mostrar un genio musical con todas sus imperfec,estrella,Drama
2742,"Pues es buena secuela la verdad. No al nivel de la primera y que tardaron tiempo en sacarla pero no está mal y es de notable pese a lo que ladren. Buena historia, divertida y demás y buena trama de la",linea,Aventura
2749,"La primera película de Chicken Run fue un éxito de taquilla y de crítica, una obra maestra de la animación en plastilina y del humor británico. ¿Qué podía salir mal con una secuela? Pues, por desgraci",oro,Aventura
2757,"Soy una persona de ciencia y siempre me ha parecido importante el por qué de las cosas. Cuando me documento para una novela intento comprender a mis personajes, incluso los que están en mis antípodas ",clave,Terror
2758,"Este documental de Jordi Évole ha suscitado opiniones de toda índole, divergentes en su esencia, oscilando entre quienes lo perciben como una tentativa de redimir tanto al grupo en sí como a Josu Urru",cabo,Terror
2767,He estado un rato reflexionando sobre cómo me había hecho sentir esta entrevista. Lo primero que pensé cuando la estaba viendo es que me había dejado fría por la falta de sinceridad que percibía en la,linea,Terror
2780,"Carol es una serie que puede pasar desapercibida para mucha gente, pero quienes echen un ojo a su primer capítulo estoy seguro la a acabarán. Muestra una situación espeluznante y la multitud de reacci",clave,Comedia
2789,"Basado en una serie de mangas, Yu Yu Hakusho es conocido por su serie anime que marco la infancia de muchos en una época donde el anime tenía una gran relevancia en la televisión. Después de muchos añ",fuente,Accion
2799,"Los críticos profesionales dicen que es una comedia más, con el humor típico, de las plataformas.Sin embargo, a mí me ha gustado porque soy afín a este subgénero de llamémosle comedia ficticia históri",campo,Comedia
2803,"*Influencias e inspiracionesSi hay algo externo que se resalte durante el visionado de Dejar el mundo atrás a la narrativa de la misma, es la clara inspiración del director en las obras de otros grand",linea,Ciencia Ficcion
2811,"Sam Esmail explora varias de las obsesiones con las que ya nos perturbaba en ‘Mr. Robot’: Hackeos a gran escala, dependencia de la tecnología, paranoia, conspiraciones, élites que gobiernan el mundo d",cabo,Ciencia Ficcion
2812,"He estado toda la película pensando en los apurillos económicos que deben estar pasando Julia Roberts, Ethank Hawke y Kevin Bacon para aceptar este trabajo de mierda.A ratos el filme tiene tono de com",cabo,Ciencia Ficcion
2821,"Tremenda pedantería de dos horas que trata de intrigarnos con inexistente argumento, razones o motivos para el más mínimo interés. ""Aburrida"" no empieza a describir el soporífero y perezoso sentimient",curso,Ciencia Ficcion
2822,"¿Qué acabo de ver? Si alguien va a decirme que no la entendí, que encierra un oculto significado social que yo no puedo comprender...no. Entendí el final, pero la película me ha parecido tediosa a más",linea,Ciencia Ficcion
2832,"Al terminar de ver esta película, uno siente que se trata de una más de la larga serie de desaciertos de M. Night Shyamalan, en la línea de ""Después de la Tierra"", ""Viejos"" o ""Llaman a la puerta"". Per",linea,Ciencia Ficcion
2892,"Basada en una novela de Rumaan Alam. Captura la esencia de una época en la que las distopías son factibles. Dirigida por Sam Esmail, creador de la serie Mr. Robot (2015-2019).Por Nicolás BianchiEl nue",campo,Ciencia Ficcion
2897,"Como varias de las películas en boga actuales con características similares (larga duración, muestran poco e imaginan mucho y de un ritmo a veces pausado). Este film muestra como una familia decide ir",campo,Ciencia Ficcion
2908,"Basada en la aclamada novela homónima, esta adaptación cinematográfica no solo captura la esencia del texto original, sino que también lo eleva a nuevas alturas a través de una narrativa visual y sono",campo | linea | clave,Ciencia Ficcion
2920,"Acabada Hilda!La verdad es que me ha gustado bastante. Es una serie muy entrañable, muy imaginativa, con personajes muy carismáticos y una gran cantidad de bichos y folklore variado creado para la oca",campo,Aventura
2939,"A ver, hagamos un inventario de contenidos de lo visto hasta el momento en lo que, espero, sea una demostración de intenciones y no un simple episodio piloto de cebo captagarrulos ávidos de vicio como",oro,Accion
2952,"Últimamente las series nórdicas me están aburriendo. Tuvo sus buenas secuencias, pero no me gustó como resolvieron ciertas cosas. Los personajes que más aparecen son los padres de la chica, y me cayer",cabo,Drama
2953,"Entretiene y mucho la miniserie en la acertada cantidad de 6 episodios, una duración no muy exagerada en la cual se van  planteando con cierta morosidad pero sin aburrir en ningún momento el desarroll",linea,Drama
2956,"Esta miniserie empieza bastante bien, mostrándonos un suceso que tendrá un gran impacto en una pequeña familia de tres miembros (padre,madre e hija), una familia bastante normal en apariencia, pero qu",cabo | clave,Drama
2964,"Previsible, película del estudiante de cine donde el ruido de la gotita de agua cayendo parece que la enaltece porque alguien de la Nouvelle Vague lo hizo, constantes guiños políticos, minutos de dura",plata,Drama
2973,La nueva propuesta de Fernando Frías de la Parra sobre la novela homónima de Juan Pablo Villalobos (ortónimo del personaje protagonista de la película) plantea una cuestión curiosa: el divertimento qu,red,Comedia
2982,"Película cargada de buenas intenciones pero aburrida como ella sola, con la típica animación de las que tantas veces nos ahogan últimamente, con personajes humanos y/o animales que huelen más a serie ",cabo,Comedia
3007,"Ya tuvimos una excelente adaptación de Scott Pilgrim en acción real, la cual es reconocida porque supo captar la esencia de la obra y trasladarla a un nuevo medio. La serie con la que nos encontramos ",linea,Accion
3010,"He visto la miniserie... Scott Pilgrim da el salto...https://www.filmaffinity.com/es/film874065.htmlUn 7. No conozco el cómic, sólo la película. Y la historia que cuenta el anime me ha gustado más que",cabo,Accion
3013,"Seré sincero, justo ahora estoy iniciando la franquicia de Scott pilgrim, de ahí que no tenga conocimiento alguno sobre la película o la novela gráfica, sin embargo hablo claro cuando digo que eso no ",linea,Accion
3016,"BAYARD RUSTIN fue un activista afroamericano que realizó numerosas aportaciones de gran calado contra el racismo y en favor de los derechos civiles, al igual que en favor de los derechos de los homose",cabo,Drama
3017,"Dirigida por George C. Wolfe y protagonizada por Colman Domingo, Chris Rock, Aml Ameen y Glynn Turman.Netflix nos ofrece un nuevo estreno y viene de la mano de un biopic de Bayard Rustin activista y e",linea | linea,Drama
3027,"Esta miniserie de Caro ha conseguido algo que hacía mucho que no experimentaba: que mire la televisión directamente durante todo el episodio, sin desviar la vista constantemente al móvil mientras me p",linea,Drama
3028,Lo peor que puede decirse de una serie es que lo que cuente carezca de interés y más de la mitad de sus personajes estén de sobra. “Sagrada familia” demuestra que la época dorada de las series ha pasa,cabo,Drama
3048,"Sagrada Familia es un thriller de intriga que mezcla muchos géneros como el drama, algo de comedia, incluso el surrealismo. Me he visto los ocho capítulos del tirón, ya os podéis imaginar lo adictiva ",cabo,Drama
3064,"No suele pasarme, pero en ocasiones ocurre. Un producto de valor y riqueza cinematográficos, ya sea en formato serie -pues ni qué decir que las series hoy se comen al cine- o propiamente película, de ",corona,Drama
3070,"Continuando la tradición de series británicas dedicadas a la Corona y a la aristocracia británica, con Downton Abbey (2010-2015) primero y Victoria (2016) después, la plataforma por excelencia de las ",corona | corona,Drama
3074,"The Crown es una digna serie británica, la elegancia, la finura y la pertinencia en su guión se ve reflejada dentro de los 10 capítulos (primera temporada).Nos narra los inicios de la reina Isabel II,",clave,Drama
3079,"No siempre un presupuesto elevado (en este caso mucho) lleva aparejado la excelencia artística. Afortunadamente los cinco millones por capítulo de  ""The Crown"" han rendido cuentas en un producto de un",corona | copa | capital,Drama
3082,"The CrownHe disfrutado lo indecible y más con esta maravillosa serie que Netflix ofrece a sus abonados. Las tres temporadas de “The Crown” son, literalmente, un verdadero festín para todos aquellos ci",linea | plata,Drama
3088,"'The crown' es, posiblemente, la mejor serie incluida en todo el catálogo de Netflix sin exagerar un ápice. Una producción fastuosa donde el escenario repleto de lujos, palacios y ostentación, habla p",clave,Drama
3089,"Me decido a votar esta serie tras haberla visto antes de ser la gran triunfadora, junto con la de O.J. Simpson, en los último Globos de Oro. Sin duda, formalmente tiene todas las virtudes de una serie",oro | oro,Drama
3091,"Puede que no tenga detrás el número de fans que Juego de Tronos, Westworld, House of Cards o Stranger Things, pero no tiene nada que envidiar a ninguna de estas series (por no decir que bajo mi punto ",corona,Drama
3092,The Crown es la serie que narra como la reina Isabel de Inglaterra llega a su puesto y cómo es reinar a partir de entonces durante la época de mediados del siglo XX. En línea con el cine más intimista,linea,Drama
3095,"""Sólo habrá hecho pedazos si lo decimos. Así funciona la monarquía. Tapamos a los agujeros"". La tercera temporada de The Crown es una obra audiovisual magnífica que consolida la calidad de una de las ",estrella,Drama
3096,"Como agua de mayo espero una nueva temporada de ésta gran serie, que nos narra la historia de la Reina Isabel II.En ésta cuarta temporada, nos cuenta el reinado de Isabel II durante los años 80, donde",corona,Drama
3098,"Muy muy inglesa, pero de inglés RP, no del de untar un hash brown en salsa HP y ser antipático como un barbarismo cultural más porque yo lo valgo. Es la mejor novela histórica que se podría haber hech",corona,Drama
3099,"Después de seis temporadas tengo que decir que estamos ante una de las mejores series históricas de los últimos años y de Netflix nada menos, lo que tiene más mérito aún.A lo largo de las seis tempora",corona,Drama
3100,"Imaginemos que el recorrido por la historia de ""Cuéntame cómo pasó"" y el elitismo de la nobleza de ""Downton Abbey"" se fusionaran, el resultado podría ser la serie que nos ocupa, con el añadido de que ",corona,Drama
3103,"Serie de 6 temporadas sobre la vida de la Reina Isabel que, en su conjunto, ha resultado muy notable.TEMPORADA 1: Interesante primera temporada sobre la monarquía británica desde el reinado de Jorge V",linea,Drama
3106,"The Crown era un proyecto tremendamente ambicioso desde sus inicios. Tanto por la escala como por lo que implicaba: sumergirse en una de las figuras más icónicas de la historia británica y mundial, y ",oro,Drama
3109,Excelente serie con brillantes actores que dan vida a unos personajes complejos y que a la vez son como el último suspiro de la monarquía europea en todo su esplendor decadente. Una historia llena de ,corona,Drama
3119,"La escenografía, vestuario y los actores llevan adelante una sería que en mi opinión carece atracción.Cuando lo hechos históricos le pueden elevar el interés de la serie, queda todo eclipsados por los",corona,Drama
3120,"De factura impecable, actuaciones excelentes y una producción cuidada, siempre nos quedamos con gusto a poco al final de cada temporada. Quizás se le pueda reprochar que algunos eventos no los cuenten",estrella | corona,Drama
